OBJECTID;Join_Count;TARGET_FID;CODIGO;NOMBRE;IDENTIFICA;SHAPE_Leng;fecha_hecho;año;mes;dia;hora;dia_semana;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;Shape_Length;Shape_Area
71;53;70;802;La Mansión;802;2202.1399;18apr2009 03:59:59;2009;4;18;31dec1899 03:59:59;;1;6.260854;-75.552377;Hombre;20;;;;;;;;Caminata;;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;La Mansión;802;8;;;;;;;;;;2202.1399;246603.63
174;53;173;106;Villa Guadalupe;106;2488.5108;30dec2011 18:59:59;2011;12;30;31dec1899 18:59:59;;1;6.286316;-75.549783;Hombre;25;Unión marital de hecho;;;;Oficios varios;;;Caminata;Primaria;;Homicidio;Arma de fuego;Homicidios asociados a hurtos;;;;;Villa Guadalupe;106;1;Vi­a piºblica;;;;;;;;;2488.5108;238610.23
243;53;242;503;Florencia;503;2452.9918;07jan2003 00:00:00;2003;1;7;31dec1899 00:00:00;;1;6.307872;-75.564662;Hombre;20;;;;;;;;;;;Homicidio;Cortopunzante;En proceso de categorización;;;;;Florencia;503;5;;;;;;;;;;2452.9918;292989.1
270;53;269;1510;Guayabal;1510;4132.5167;16/05/2016 17:18;2016;5;16;31dec1899 17:18:00;;1;6.204214;-75.587045;Hombre;25;Soltero;;;;Taxista;;;Taxi;Bachillerato;;Homicidio;Arma de fuego;Convivencia;;;;;Guayabal;1510;15;Vi­a piºblica;;;;;;;;;4132.5167;747197.19
21;52;20;719;Fuente Clara;719;3022.3377;20jan2018 20:35:00;2018;1;20;31dec1899 20:35:00;;1;6.2767243;-75.607605;Hombre;32;Soltero;;;;;;Consumidor de estupefacientes;Caminata;Primaria;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Fuente Clara;719;7;Quebrada o rio;;;;;;;;;3022.3377;236441.17
262;52;261;1015;Bomboná No.1;1015;1990.6623;31/05/2010 11:00;2010;5;31;31dec1899 11:00:00;;1;6.242299;-75.560068;Hombre;24;Soltero;;;;;;;Motocicleta;Bachillerato;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Bomboni¡ No.1;1015;10;Vi­a piºblica;;;;;;;;;1990.6623;207288.86
103;50;102;201;La Isla;201;3167.1212;26/11/2003 20:00;2003;11;26;31dec1899 20:00:00;;1;6.304509;-75.549133;Hombre;47;;;;;;;;;;;Homicidio;Cortopunzante;En proceso de categorización;;;;;La Isla;201;2;;;;;;;;;;3167.1212;213093.71
187;49;186;508;Belalcázar;508;1888.4357;11/03/2007 9:00;2007;3;11;31dec1899 09:00:00;;1;6.295419;-75.564388;Hombre;19;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Belalci¡zar;508;5;;;;;;;;;;1888.4357;166521.7
27;48;26;907;Buenos Aires;907;2357.9635;25/05/2009 23:00;2009;5;25;31dec1899 23:00:00;;1;6.242765;-75.559412;Hombre;43;;;;;;;;;;;Homicidio;Cortopunzante;En proceso de categorización;;;;;Buenos Aires;907;9;;;;;;;;;;2357.9635;293164.43
77;48;76;722;Olaya Herrera;722;4299.2628;18/07/2016 0:30;2016;7;18;31dec1899 00:30:00;;1;6.271798;-75.612877;Hombre;66;Soltero;;;;Reciclador;;;Caminata;Primaria;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Olaya Herrera;722;7;Residencia;;;;;;;;;4299.2628;421512.91
112;48;111;205;La Francia;205;2982.2937;18/10/2014 16:03;2014;10;18;31dec1899 16:03:59;;1;6.302392;-75.556162;Mujer;25;Soltero;;;;Reciclador;;;Caminata;Primaria;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;La Francia;205;2;Vi­a piºblica;;;;;;;;;2982.2937;341808.7
153;48;152;202;Playón de Los Comuneros;202;3535.9171;24jan2013 00:20:00;2013;1;24;31dec1899 00:20:00;;1;6.307327;-75.55464;Hombre;19;Soltero;;;;Oficial construcción;;;Caminata;Bachillerato;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Playón de Los Comuneros;202;2;Residencia;;;;;;;;;3535.9171;205378.69
256;48;255;507;Héctor Abad Gómez;507;2704.1042;19/02/2015 12:14;2015;2;19;31dec1899 12:14:59;;1;6.296766;-75.561172;Hombre;53;Unión marital de hecho;;;;Vigilante empresa de seguridad;;;Caminata;Bachillerato;;Homicidio;Arma de fuego;Homicidios asociados a hurtos;;;;;Héctor Abad Gómez;507;5;Vi­a piºblica;;;;;;;;;2704.1042;240129.94
82;47;81;307;Manrique Central No.2;307;2619.4582;26aug2009 20:00:00;2009;8;26;31dec1899 20:00:00;;1;6.263877;-75.553577;Hombre;19;Soltero;;;;;;;Caminata;Bachillerato;;Homicidio;Arma de fuego;Homicidios asociados a hurtos;;;;;Manrique Central No.2;307;3;Vi­a piºblica;;;;;;;;;2619.4582;240903.47
148;47;147;1207;El Danubio;1207;2331.7997;19/07/2012 18:17;2012;7;19;31dec1899 18:17:59;;1;6.253623;-75.609745;Hombre;55;Soltero;;;;Carpintero o ebanista o tapicero;;;Caminata;Primaria;;Homicidio;Arma de fuego;Convivencia;;;;;El Danubio;1207;12;Puesto de trabajo;;;;;;;;;2331.7997;212062.28
202;47;201;812;La Libertad;812;2851.0884;02/09/2010 0:59;2010;9;2;31dec1899 00:59:59;;1;6.240852;-75.543731;Hombre;28;Soltero;;;;;;;Automóvil;Bachillerato;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;La Libertad;812;8;Vi­a piºblica;;;;;;;;;2851.0884;312386.49
230;47;229;1104;San Joaquín;1104;2448.0702;07/10/2004 23:00;2004;10;7;31dec1899 23:00:00;;1;6.247317;-75.587758;Hombre;44;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;San Joaqui­n;1104;11;;;;;;;;;;2448.0702;328394.41
167;46;166;904;Los Cerros El Vergel;904;2764.1799;20/10/2013 2:35;2013;10;20;31dec1899 02:35:59;;1;6.233043;-75.545793;Hombre;45;;;;;Conductor;;;Taxi;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Los Cerros El Vergel;904;9;Puesto de trabajo;;;;;;;;;2764.1799;316939.9
56;45;55;1601;Fátima;1601;2687.4572;24/07/2012 7:11;2012;7;24;31dec1899 07:11:00;;1;6.235046;-75.582677;Hombre;52;Casado;;;;Comerciante;;;Caminata;Bachillerato;;Homicidio;Arma de fuego;Homicidios asociados a hurtos;;;;;Fi¡tima;1601;16;Vi­a piºblica;;;;;;;;;2687.4572;434653.7
60;45;59;801;Villa Hermosa;801;3286.3038;19/11/2008 20:00;2008;11;19;31dec1899 20:00:00;;1;6.257354;-75.549801;Hombre;26;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Villa Hermosa;801;8;;;;;;;;;;3286.3038;393468.1
185;44;184;519;El Progreso;519;2705.7433;22/05/2010 21:00;2010;5;22;31dec1899 21:00:00;;1;6.278097;-75.57743;Hombre;27;Unión marital de hecho;;;;;;;Caminata;;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;El Progreso;519;5;Vi­a piºblica;;;;;;;;;2705.7433;407603.22
22;43;21;102;Santo Domingo Savio No.2;102;2943.7077;22jan2012 21:20:00;2012;1;22;31dec1899 21:20:00;;1;6.300424;-75.541324;Hombre;21;Unión marital de hecho;;;;Oficios varios;;;Caminata;Primaria;;Homicidio;Arma de fuego;Convivencia;;;;;Santo Domingo Savio No.2;102;1;Almacén tienda y otro;;;;;;;;;2943.7077;264750.45
214;43;213;1102;Suramericana;1102;3190.3659;06dec2009 12:00:00;2009;12;6;31dec1899 12:00:00;;1;6.253283;-75.582135;Hombre;14;Soltero;;;;;;;Caminata;Primaria;;Homicidio;Cortopunzante;Convivencia;;;;;Suramericana;1102;11;Vi­a piºblica;;;;;;;;;3190.3659;488003.72
224;43;223;1014;Las Palmas;1014;3057.9699;31/03/2004 8:00;2004;3;31;31dec1899 08:00:00;;1;6.242143;-75.567213;Mujer;20;;;;;;;;;;;Homicidio;Cortopunzante;En proceso de categorización;;;;;Las Palmas;1014;10;;;;;;;;;;3057.9699;322941.48
96;42;95;1107;Bolivariana;1107;2798.3535;28jan2009 12:59:59;2009;1;28;31dec1899 12:59:59;;1;6.246564;-75.590687;Hombre;27;Casado;;;;;;;Automóvil;Técnica;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Bolivariana;1107;11;Vi­a piºblica;;;;;;;;;2798.3535;320999.88
149;42;148;111;La Avanzada;111;2891.1278;25/03/2008 2:00;2008;3;25;31dec1899 02:00:00;;1;6.293207;-75.538371;Hombre;20;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;La Avanzada;111;1;;;;;;;;;;2891.1278;276605.82
219;42;218;903;Bomboná No.2;903;4633.8585;27/02/2012 10:30;2012;2;27;31dec1899 10:30:00;;1;6.231048;-75.54544;Hombre;33;;;;;;;;Caminata;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Bomboni¡ No.2;903;9;Vi­a piºblica;;;;;;;;;4633.8585;659648.22
258;42;257;1117;Florida Nueva;1117;2134.0919;19/02/2004 12:59;2004;2;19;31dec1899 12:59:59;;1;6.250143;-75.590098;Hombre;24;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Florida Nueva;1117;11;;;;;;;;;;2134.0919;249111.07
